Product,Price,Availability
10g Bubblegum,80 EUR = 0.00123 ฿,X
25g Bubblegum,160 EUR = 0.00246 ฿,X
100g Bubblegum,475 EUR = 0.00731 ฿,X
10g Bubblegum,80 EUR = 0.00123 ฿,X
25g Bubblegum,160 EUR = 0.00246 ฿,X
